,Task 1,Task 2,Task 3,Task 4,Task 5
0,100.0,100.0,100.0,100.0,100.0
1,100.0,100.0,100.0,100.0,100.0
2,100.0,100.0,100.0,100.0,100.0
3,1.189532117367169,4.856687898089172,0.0,0.5434782608695652,8.862629246676514
4,2.917981072555205,3.1640299750208163,0.0,0.0,13.763066202090593
5,0.0,1.2693935119887165,0.0,0.0,0.7102272727272727
6,39.26293408929837,22.467771639042358,22.452504317789295,5.63855421686747,24.433656957928804
7,100.0,100.0,100.0,100.0,95.75471698113208
8,89.58630527817404,68.62275449101797,96.56946826758147,100.0,90.15151515151516
9,100.0,94.08,100.0,100.0,100.0
10,2.772963604852686,43.064182194616976,1.2364760432766615,35.77106518282989,5.11727078891258
11,23.946360153256705,9.615384615384617,0.0,4.85917672547199,38.35341365461847
12,28.28902522154056,16.06864274570983,2.5806451612903225,62.585034013605444,40.27303754266212
13,2.4417314095449503,10.707456978967496,0.0,2.6415094339622645,12.048192771084338
14,1.3592233009708738,2.0184544405997693,0.0,2.18978102189781,0.7380073800738007
15,6.981740064446831,17.428924598269468,1.8115942028985508,8.689839572192513,0.0
16,45.18760195758564,37.12757830404889,35.6297093649085,74.1635687732342,44.62809917355372
17,79.60057061340942,25.38994800693241,22.292191435768263,74.61139896373057,44.02597402597402
18,51.809355692850836,48.85361552028218,41.434846266471446,41.670690487687104,39.86013986013986
19,0.16118633139909735,5.425219941348973,0.4231311706629055,2.955665024630542,2.6132404181184667
20,0.0,8.87035633055345,0.5870841487279843,2.1052631578947367,1.5280135823429541
21,0.668693009118541,42.433234421364986,14.82889733840304,27.506426735218508,40.59259259259259
22,13.598673300165837,33.45921450151057,0.0,38.05555555555556,0.0
23,23.91304347826087,22.668004012036107,21.350762527233115,4.318181818181818,0.5780346820809248
24,37.57292882147025,34.46601941747573,12.5,33.56401384083045,1.8009478672985781
25,100.0,100.0,100.0,100.0,100.0
26,100.0,100.0,100.0,100.0,100.0
27,100.0,100.0,100.0,100.0,100.0
28,75.67567567567568,44.95412844036697,28.49162011173184,57.591240875912405,55.88235294117647
29,100.0,92.03187250996015,28.012048192771083,100.0,48.091603053435115
30,49.76525821596244,72.16494845360825,50.89285714285714,100.0,72.92418772563177
31,52.742616033755276,77.30061349693251,17.66304347826087,0.0,3.349282296650718
32,86.73754896474539,52.3625843780135,54.36241610738255,100.0,14.328358208955224
33,73.11139564660691,39.154929577464785,17.56373937677054,0.0,3.0456852791878175
34,0.0,47.49455337690632,4.794520547945205,0.0,0.0
35,0.0,67.2072072072072,0.0,0.0,0.0
36,0.0,51.15511551155115,7.262569832402235,0.0,0.0
37,72.82608695652173,46.74657534246575,67.2514619883041,100.0,100.0
38,21.181556195965417,35.25,35.14986376021799,100.0,100.0
39,20.33527696793003,50.53995680345572,36.42857142857142,43.96551724137931,72.67605633802818
40,100.0,100.0,100.0,100.0,17.03056768558952
41,100.0,100.0,100.0,100.0,54.95049504950495
42,100.0,100.0,100.0,100.0,11.781609195402298
